Plate_id	ABS650	ABS750	well_id	Date	plate_type
3	0.996	0.709	E8	07302019	96
3	0.7	0.599	E9	07302019	96
3	1.047	0.77	E10	07302019	96
3	0.794	0.603	E11	07302019	96
3	0.269	0.218	E12	07302019	96
3	0.738	0.636	F1	07302019	96
3	0.901	0.7	F2	07302019	96
3	0.902	0.598	F3	07302019	96
3	0.929	0.717	F4	07302019	96
3	1.131	0.833	F5	07302019	96
3	1.077	0.82	F6	07302019	96
3	0.419	0.348	F7	07302019	96
3	0.853	0.692	F8	07302019	96
3	1.25	0.835	F9	07302019	96
3	0.083	0.081	F10	07302019	96
3	0.082	0.08	F11	07302019	96
3	0.083	0.08	F12	07302019	96
3	0.081	0.087	G1	07302019	96
3	0.079	0.084	G2	07302019	96
3	0.079	0.084	G3	07302019	96
3	0.083	0.082	G4	07302019	96
3	0.083	0.081	G5	07302019	96
3	0.084	0.082	G6	07302019	96
3	0.084	0.08	G7	07302019	96
3	0.083	0.08	G8	07302019	96
3	0.082	0.079	G9	07302019	96
3	0.083	0.08	G10	07302019	96
3	0.083	0.081	G11	07302019	96
3	0.094	0.092	G12	07302019	96
3	0.083	0.081	H1	07302019	96
3	0.084	0.08	H2	07302019	96
3	0.083	0.082	H3	07302019	96
3	0.083	0.081	H4	07302019	96
3	0.084	0.08	H5	07302019	96
3	0.083	0.079	H6	07302019	96
3	0.083	0.08	H7	07302019	96
3	0.083	0.08	H8	07302019	96
3	0.083	0.08	H9	07302019	96
3	0.083	0.081	H10	07302019	96
3	0.091	0.087	H11	07302019	96
3	0.085	0.081	H12	07302019	96
